"colname","data_type"
"E_POA8","integer"
"FEMALE","character"
"HCUP_ED","logical"
"HCUP_OS","logical"
"HISPANIC_X","logical"
"HOSPBRTH","logical"
"HOSPST","character"
"HOMELESS","character"
"HOSPITALUNIT","character"
"LOS","numeric"
"LOS_X","logical"
"MDC","integer"
"MDC24","logical"
"MDC_NOPOA","character"
"MDNUM1_R","logical"
"MDNUM2_R","logical"
"MDNUM3_R","logical"
"MDNUM4_R","logical"
"MEDINCSTQ","integer"
"NCHRONIC","integer"
"NDX","integer"
"NECODE","logical"
"NEOMAT","logical"
"NPR","logical"
"ORPROC","logical"
"OS_TIME","logical"
"PAY1","integer"
"PAY1_X","logical"
"PAY2","logical"
"PAY2_X","logical"
"PAY3","logical"
"PAY3_X","logical"
"PL_CBSA","logical"
"PL_NCHS","logical"
"PL_RUCC","logical"
"PL_UIC","logical"
"PL_UR_CAT4","logical"
"PR1","character"
"PR2","logical"
"PR3","logical"
"PR4","logical"
"PR5","logical"
"PR6","logical"
"PR7","logical"
"PR8","logical"
"PR9","logical"
"PR10","logical"
"PR11","logical"
"PR12","logical"
"PR13","logical"
"PR14","logical"
"PR15","logical"
"PR16","logical"
"PR17","logical"
"PR18","logical"
"PR19","logical"
"PR20","logical"
"PR21","logical"
"PR22","logical"
"PR23","logical"
"PR24","logical"
"PR25","logical"
"PRCCS1","integer"
"PRCCS2","logical"
"PRCCS3","logical"
"PRCCS4","logical"
"PRCCS5","logical"
"PRCCS6","logical"
"PRCCS7","logical"
"PRCCS8","logical"
"PRCCS9","logical"
"PRCCS10","logical"
"PRCCS11","logical"
"PRCCS12","logical"
"PRCCS13","logical"
"PRCCS14","logical"
"PRCCS15","logical"
"PRCCS16","logical"
"PRCCS17","logical"
"PRCCS18","logical"
"PRCCS19","logical"
"PRCCS20","logical"
"PRCCS21","logical"
"PRCCS22","logical"
"PRCCS23","logical"
"PRCCS24","logical"
"PRCCS25","logical"
"PRDAY1","logical"
"PRDAY2","logical"
"PRDAY3","logical"
"PRDAY4","logical"
"PRDAY5","logical"
"PRDAY6","logical"
"PRDAY7","logical"
"PRDAY8","logical"
"PRDAY9","logical"
"PRDAY10","logical"
"PRDAY11","logical"
"PRDAY12","logical"
"PRDAY13","logical"
"PRDAY14","logical"
"PRDAY15","logical"
"PRDAY16","logical"
"PRDAY17","logical"
"PRDAY18","logical"
"PRDAY19","logical"
"PRDAY20","logical"
"PRDAY21","logical"
"PRDAY22","logical"
"PRDAY23","logical"
"PRDAY24","logical"
"PRDAY25","logical"
"PROCTYPE","logical"
"PSTATE","character"
"PSTCO2","logical"
"POINTOFORIGINUB04","character"
"POINTOFORIGIN_X","character"
"RACE","integer"
"RACE_X","logical"
"TOTCHG","numeric"
"TOTCHG_X","logical"
"TRAN_IN","integer"
"TRAN_OUT","logical"
"VISITLINK","character"
"YEAR","logical"
"ZIP3","logical"
"ZIPINC_QRTL","logical"
"ZIP","integer"
"AYEAR","integer"
"CHRON1","integer"
"CHRON2","integer"
"CHRON3","integer"
"CHRON4","integer"
"CHRON5","integer"
"CHRON6","integer"
"CHRON7","integer"
"CHRON8","integer"
"CHRON9","integer"
"CHRON10","integer"
"CHRON11","integer"
"CHRON12","integer"
"CHRON13","integer"
"CHRON14","integer"
"CHRON15","integer"
"CHRON16","integer"
"CHRON17","integer"
"CHRON18","integer"
"CHRON19","integer"
"CHRON20","integer"
"CHRON21","integer"
"CHRON22","integer"
"CHRON23","integer"
"CHRON24","integer"
"CHRON25","integer"
"CHRONB1","integer"
"CHRONB2","integer"
"CHRONB3","integer"
"CHRONB4","integer"
"CHRONB5","integer"
"CHRONB6","integer"
"CHRONB7","integer"
"CHRONB8","integer"
"CHRONB9","integer"
"CHRONB10","integer"
"CHRONB11","integer"
"CHRONB12","integer"
"CHRONB13","integer"
"CHRONB14","integer"
"CHRONB15","integer"
"CHRONB16","integer"
"CHRONB17","integer"
"CHRONB18","integer"
"CHRONB19","integer"
"CHRONB20","integer"
"CHRONB21","integer"
"CHRONB22","integer"
"CHRONB23","integer"
"CHRONB24","integer"
"CHRONB25","integer"
"DXMCCS1","integer"
"DXMCCS2","logical"
"DXMCCS3","logical"
"DXMCCS4","logical"
"DXMCCS5","logical"
"DXMCCS6","logical"
"DXMCCS7","logical"
"DXMCCS8","logical"
"DXMCCS9","logical"
"DXMCCS10","logical"
"DXMCCS11","logical"
"DXMCCS12","logical"
"DXMCCS13","logical"
"DXMCCS14","logical"
"DXMCCS15","logical"
"DXMCCS16","logical"
"DXMCCS17","logical"
"DXMCCS18","logical"
"DXMCCS19","logical"
"DXMCCS20","logical"
"DXMCCS21","logical"
"DXMCCS22","logical"
"DXMCCS23","logical"
"DXMCCS24","logical"
"DXMCCS25","logical"
"E_MCCS1","logical"
"E_MCCS2","logical"
"E_MCCS3","logical"
"E_MCCS4","logical"
"E_MCCS5","logical"
"E_MCCS6","logical"
"E_MCCS7","logical"
"E_MCCS8","logical"
"INJURY","integer"
"INJURY_CUT","integer"
"INJURY_DROWN","integer"
"INJURY_FALL","integer"
"INJURY_FIRE","integer"
"INJURY_FIREARM","integer"
"INJURY_MACHINERY","integer"
"INJURY_MVT","integer"
"INJURY_NATURE","integer"
"INJURY_POISON","integer"
"INJURY_STRUCK","integer"
"INJURY_SUFFOCATION","integer"
"INTENT_ASSAULT","integer"
"INTENT_SELF_HARM","integer"
"INTENT_UNINTENTIONAL","integer"
"MULTINJURY","integer"
"PCLASS1","logical"
"PCLASS2","logical"
"PCLASS3","logical"
"PCLASS4","logical"
"PCLASS5","logical"
"PCLASS6","logical"
"PCLASS7","logical"
"PCLASS8","logical"
"PCLASS9","logical"
"PCLASS10","logical"
"PCLASS11","logical"
"PCLASS12","logical"
"PCLASS13","logical"
"PCLASS14","logical"
"PCLASS15","logical"
"PCLASS16","logical"
"PCLASS17","logical"
"PCLASS18","logical"
"PCLASS19","logical"
"PCLASS20","logical"
"PCLASS21","logical"
"PCLASS22","logical"
"PCLASS23","logical"
"PCLASS24","logical"
"PCLASS25","logical"
"PRMCCS1","integer"
"PRMCCS2","logical"
"PRMCCS3","logical"
"PRMCCS4","logical"
"PRMCCS5","logical"
"PRMCCS6","logical"
"PRMCCS7","logical"
"PRMCCS8","logical"
"PRMCCS9","logical"
"PRMCCS10","logical"
"PRMCCS11","logical"
"PRMCCS12","logical"
"PRMCCS13","logical"
"PRMCCS14","logical"
"PRMCCS15","logical"
"PRMCCS16","logical"
"PRMCCS17","logical"
"PRMCCS18","logical"
"PRMCCS19","logical"
"PRMCCS20","logical"
"PRMCCS21","logical"
"PRMCCS22","logical"
"PRMCCS23","logical"
"PRMCCS24","logical"
"PRMCCS25","logical"
"U_BLOOD","logical"
"U_CATH","logical"
"U_CCU","logical"
"U_CHESTXRAY","logical"
"U_CTSCAN","logical"
"U_DIALYSIS","logical"
"U_ECHO","logical"
"U_ED","logical"
"U_EEG","logical"
"U_EKG","logical"
"U_EPO","logical"
"U_ICU","logical"
"U_LITHOTRIPSY","logical"
"U_MHSA","logical"
"U_MRT","logical"
"U_NEWBN2L","logical"
"U_NEWBN3L","logical"
"U_NEWBN4L","logical"
"U_NUCMED","logical"
"U_OBSERVATION","logical"
"U_OCCTHERAPY","logical"
"U_ORGANACQ","logical"
"U_OTHIMPLANTS","logical"
"U_PACEMAKER","logical"
"U_PHYTHERAPY","logical"
"U_RADTHERAPY","logical"
"U_RESPTHERAPY","logical"
"U_SPEECHTHERAPY","logical"
"U_STRESS","logical"
"U_ULTRASOUND","logical"
